id_processo;numero;pasta;status_label;area;instancia_label;uf;comarca;tribunal_sigla;tribunal_nome;vinculo;nome_contrario;titulo_acao;valor_causa;data_cadastro;data_distribuicao;data_encerramento;fase_atual;advogado;entrou_no_dashboard
6165329;15165-721.419/2021-26;14531;Ativo;Tributário;1º Grau;PR;Curitiba;;;Autuado;RECEITA FEDERAL DO BRASIL;ADUANEIRO - Declarações de Importação n° 19/0218242-3, 19/0345151-7, 19/0418461-0, 19/0537269-0 e 19/0962283-6 - Infração: cessão de nome para a realização de operações de comércio exterior de terceiros com vistas ao acobertamento dos reais b;62121.32;2023-09-04;;;;KIM AUGUSTO ZANONI;sim
6165318;15165-721.417/2021-37;14530;Ativo;Tributário;1º Grau;PR;Curitiba;;;Autuado;RECEITA FEDERAL DO BRASIL;"ADUANEIRO - Infração: interposição fraudulenta comprovada (AR70 COMERCIO E INDUSTRIA LTDA e JOSE CAETANO AMBROSIO) – pena de perdimento – R$ 222.012,99 Declarações de Importação nº. DIs nº 19/0418461-0, itens 1, 2, 3 e 7 da adição 001; DI ";222012.99;2023-09-04;;;;KIM AUGUSTO ZANONI;sim
6165309;15165-721.415/2021-48;14529;Ativo;Tributário;1º Grau;PR;Curitiba;;;Autuado;DELEGACIA DA RECEITA FEDERAL;ADUANEIRO - Declarações de Importação nº. 19/0218242-3 e 19/0345151-7 - Infração: interposição fraudulenta comprovada (AR70 COMERCIO E INDUSTRIA LTDA e JOSE CAETANO AMBROSIO) – pena de perdimento – R$ 399.200,47;399200.47;2023-09-04;;;;KIM AUGUSTO ZANONI;sim
6165306;15165-720.967/2021-39;14528;Ativo;Tributário;1º Grau;PR;Curitiba;;;Autuado;DELEGACIA DA RECEITA FEDERAL;ADUANEIRO - Infração: interposição fraudulenta comprovada (DBEATI COMERCIO DE RETENTORES LTDA) – pena de perdimento – R$ 83.389,18;83389.18;2023-09-04;;;;KIM AUGUSTO ZANONI;sim
6165299;15165-721.037/2021-01;14527;Ativo;Tributário;1º Grau;PR;Curitiba;;;Autuado;DELEGACIA DA RECEITA FEDERAL;ADUANEIRO - Infração: interposição fraudulenta comprovada (MEDCONTROL, JOSÉ CAETANO AMBRÓSIO) – pena de perdimento – R$ 575.113,44;575113.44;2023-09-04;;;;KIM AUGUSTO ZANONI;sim
6165296;15165-721.117/2021-58;14526;Ativo;Tributário;1º Grau;PR;Curitiba;;;Autuado;DELEGACIA DA RECEITA FEDERAL;ADUANEIRO;5622689.76;2023-09-04;;;;KIM AUGUSTO ZANONI;sim
6165277;15165.721.129/2021-82;14525;Ativo;Tributário;1º Grau;PR;Curitiba;;;Autuado;RECEITA FEDERAL DO BRASIL;ADUANEIRO - Infração: termo de representação fiscal para inaptidão de CNPJ ;8338.91;2023-09-04;;;;KIM AUGUSTO ZANONI;sim
6165275;15165-720.970/2021-52;14524;Ativo;Tributário;1º Grau;PR;Curitiba;;;Autuado;RECEITA FEDERAL DO BRASIL;ADUANEIRO - Declaração de Importação n°. 18/2127028-4 - Infração: cessão de nome para a realização de operações de comércio exterior de terceiros com vistas ao acobertamento dos reais beneficiários – R$ 8.338,91;8338.91;2023-09-04;;;;KIM AUGUSTO ZANONI;sim
6165269;15165-721.034/2021-69;14523;Ativo;Tributário;1º Grau;PR;Curitiba;;;Autuado;RECEITA FEDERAL DO BRASIL;ADUANEIRO - Declaração de Importação n°. 20/0184262-6 - Infração: interposição fraudulenta comprovada (REVENDA BRINDES COMÉRCIO DE BRINDES LTDA, CNPJ n° 12.312.945/0001-28) - valor mercadoria de R$ 195.009,96;195009.96;2023-09-04;;;;KIM AUGUSTO ZANONI;sim
6165266;15165-721.036/2021-58;14522;Ativo;Tributário;1º Grau;PR;Curitiba;;;Autuado;RECEITA FEDERAL DO BRASIL;ADUANEIRO - Declaração de Importação n°. 20/0184262-6 - Infração: interposição fraudulenta presumida - valor aduaneiro importado de R$ 5.622.689,76;5622689.76;2023-09-04;;;;KIM AUGUSTO ZANONI;sim
6165255;15165-721.039/2021-91;14521;Ativo;Tributário;1º Grau;PR;Curitiba;;;Autuado;RECEITA FEDERAL DO BRASIL;ADUANEIRO - Declarações de Importação n°. 20/0360168-5 e 20/0769047-0 - Infração: cessão de nome para a realização de operações de comércio exterior de terceiros com vistas ao acobertamento dos reais beneficiários – multa de R$ 60.167,56;60167.56;2023-09-04;;;;KIM AUGUSTO ZANONI;sim
6165247;15165-721.510/2020-61;14520;Ativo;Tributário;1º Grau;SC;Itajaí;;;Autuado;RECEITA FEDERAL DO BRASIL;"ADUANEIRO - Declarações de Importação n°. 20/0360168-5 e 20/0769047-0 - Infração: Interposição fraudulenta comprovada (MEDCONTROL) com pena de perdimento das mercadorias; falsidade documental e multa por cessão irregular de nome prevista no art.";19859.68;2023-09-04;;;;KIM AUGUSTO ZANONI;sim
6165069;5001275-90.2023.4.04.7000;14514;Arquivado Definitivo;Tributário;1º Grau;PR;Curitiba;TRF4;TRF4 - Tribunal Regional Federal da 4ª Região;Autor;UNIÃO FAZENDA NACIONAL;Cumprimento provisório de sentença;0;2023-09-04;2023-01-13;2023-06-29;;KIM AUGUSTO ZANONI;sim
6165060;5058326-30.2021.4.04.7000;14513;Baixado;Tributário;1º Grau;PR;Curitiba;TRF4;TRF4 - Tribunal Regional Federal da 4ª Região;Autor;DELEGADO DA ALFÂNDEGA DA RECEITA FEDERAL DO BRASIL - UNIÃO - FAZENDA NACIONAL - CURITIBA;Mandado de Segurança - PAF: 15165-721.117/2021-58 e 15165.721.129/2021-82;10000;2023-09-04;2021-08-20;2024-10-11;;KIM AUGUSTO ZANONI;sim
6165052;5007246-82.2021.4.04.7208;14512;Ativo;Aduaneiro;1º Grau;SC;Itajaí;TRF4;TRF4 - Tribunal Regional Federal da 4ª Região;Autor;UNIÃO FAZENDA NACIONAL;Anulatória Auto de Infração 0927800/00120/20 - PAF 15165.721306/2020-40 - Pena de Predimento -  DI 20/0360168-5 e 20/0769047-0;177764.78;2023-09-04;2021-06-01;;;KIM AUGUSTO ZANONI;sim
6165036;5013003-91.2020.4.04.7208;14511;Baixado;Aduaneiro;1º Grau;SC;Itajaí;TRF4;TRF4 - Tribunal Regional Federal da 4ª Região;Impetrante;DELEGADO DA ALFÂNDEGA DA RECEITA FEDERAL DO BRASIL - UNIÃO - FAZENDA NACIONAL - GUARULHOS;Mandado de Segurança;286545.58;2023-09-04;2020-12-18;2026-02-19;;KIM AUGUSTO ZANONI;sim
6165028;5004917-57.2020.4.03.6110;14510;Ativo;Tributário;1º Grau;SP;Sorocaba;TRF3;TRF3 - Tribunal Regional Federal da 3ª Região;Apelante;UNIÃO FAZENDA NACIONAL;Liberação de mercadorias;272725.43;2023-09-04;2020-08-31;;;KIM AUGUSTO ZANONI;sim
6164966;1030784-59.2020.4.01.3400;14509;Ativo;Tributário;2º Grau;DF;Brasília;TRF1;TRF1 - Tribunal Regional Federal da 1ª Região;Autor;UNIÃO FAZENDA NACIONAL;Ação Anulatória PAF: 10909-721.831/2019-67 - Tutela provisória: deferida para suspender a destinação das mercadorias;141428.28;2023-09-04;2020-05-29;;;KIM AUGUSTO ZANONI;sim
6164962;10909.720481/2020-55;14508;Ativo;Tributário;1º Grau;DF;Brasília;;;Autuado;DELEGACIA DA RECEITA FEDERAL;DI nº. 20/0261578-0 - Infração: responsabilidade solidária de auto de infração lavrado inicialmente em desfavor do adquirente da mercadoria, a empresa RADIONAVAL ELETRÔNICA LTDA referente à DI nº. 20/0261578-0. Importação com isenção de II e ;1291.33;2023-09-04;;;;KIM AUGUSTO ZANONI;sim
6164955;5014959-72.2021.8.24.0045;14507;Ativo;Cível;1º Grau;SC;Palhoça;TJSC;TJSC - Tribunal de Justiça do Estado de Santa Catarina;Reu;FORTE DISTRIBUICAO E LOGISTICA DO BRASIL LTDA;;39548.75;2023-09-04;2021-10-05;;;MAIKO ROBERTO MAIER;sim
